/Users/master/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
[318/403] 'top caribbean travel blog 2026'                 DDG blocked/failed — backing off, will retry
[319/403] 'top caribbean travel blog contact us'           DDG blocked/failed — backing off, will retry
[320/403] 'thailand travel blog'                           DDG blocked/failed — backing off, will retry
[321/403] 'thailand travel blog write for us'              DDG blocked/failed — backing off, will retry
[322/403] 'thailand travel blog 2026'                      DDG blocked/failed — backing off, will retry
[323/403] 'thailand travel blog contact us'                DDG blocked/failed — backing off, will retry
[324/403] 'best thailand travel blog'                      DDG blocked/failed — backing off, will retry
[325/403] 'best thailand travel blog write for us'         +41 new (total 1116)
[326/403] 'best thailand travel blog 2026'                 +5 new (total 1121)
[327/403] 'best thailand travel blog contact us'           +3 new (total 1124)
[328/403] 'top thailand travel blog'                       +0 new (total 1124)
[329/403] 'top thailand travel blog write for us'          +2 new (total 1126)
[330/403] 'top thailand travel blog 2026'                  +1 new (total 1127)
[331/403] 'top thailand travel blog contact us'            DDG blocked/failed — backing off, will retry
[332/403] 'dubai travel blog'                              +11 new (total 1138)
[333/403] 'dubai travel blog write for us'                 +9 new (total 1147)
[334/403] 'dubai travel blog 2026'                         +9 new (total 1156)
[335/403] 'dubai travel blog contact us'                   +3 new (total 1159)
[336/403] 'best dubai travel blog'                         +1 new (total 1160)
[337/403] 'best dubai travel blog write for us'            +1 new (total 1161)
[338/403] 'best dubai travel blog 2026'                    +0 new (total 1161)
[339/403] 'best dubai travel blog contact us'              DDG blocked/failed — backing off, will retry
[340/403] 'top dubai travel blog'                          DDG blocked/failed — backing off, will retry
[341/403] 'top dubai travel blog write for us'             DDG blocked/failed — backing off, will retry
[342/403] 'top dubai travel blog 2026'                     DDG blocked/failed — backing off, will retry
[343/403] 'top dubai travel blog contact us'               DDG blocked/failed — backing off, will retry
[344/403] 'france travel blog'                             DDG blocked/failed — backing off, will retry
[345/403] 'france travel blog write for us'                DDG blocked/failed — backing off, will retry
[346/403] 'france travel blog 2026'                        DDG blocked/failed — backing off, will retry
[347/403] 'france travel blog contact us'                  DDG blocked/failed — backing off, will retry
[348/403] 'best france travel blog'                        DDG blocked/failed — backing off, will retry
[349/403] 'best france travel blog write for us'           DDG blocked/failed — backing off, will retry
[350/403] 'best france travel blog 2026'                   DDG blocked/failed — backing off, will retry
[351/403] 'best france travel blog contact us'             DDG blocked/failed — backing off, will retry
[352/403] 'top france travel blog'                         DDG blocked/failed — backing off, will retry
[353/403] 'top france travel blog write for us'            DDG blocked/failed — backing off, will retry
[354/403] 'top france travel blog 2026'                    +3 new (total 1164)
[355/403] 'top france travel blog contact us'              +1 new (total 1165)
[356/403] 'turkey travel blog'                             +5 new (total 1170)
[357/403] 'turkey travel blog write for us'                +13 new (total 1183)
[358/403] 'turkey travel blog 2026'                        DDG blocked/failed — backing off, will retry
[359/403] 'turkey travel blog contact us'                  DDG blocked/failed — backing off, will retry
[360/403] 'best turkey travel blog'                        +2 new (total 1185)
[361/403] 'best turkey travel blog write for us'           +16 new (total 1201)
[362/403] 'best turkey travel blog 2026'                   +5 new (total 1206)
[363/403] 'best turkey travel blog contact us'             +3 new (total 1209)
[364/403] 'top turkey travel blog'                         +0 new (total 1209)
[365/403] 'top turkey travel blog write for us'            +0 new (total 1209)
[366/403] 'top turkey travel blog 2026'                    +1 new (total 1210)
[367/403] 'top turkey travel blog contact us'              DDG blocked/failed — backing off, will retry
[368/403] 'amalfi coast travel blog'                       DDG blocked/failed — backing off, will retry
[369/403] 'amalfi coast travel blog write for us'          DDG blocked/failed — backing off, will retry
[370/403] 'amalfi coast travel blog 2026'                  DDG blocked/failed — backing off, will retry
[371/403] 'amalfi coast travel blog contact us'            DDG blocked/failed — backing off, will retry
[372/403] 'best amalfi coast travel blog'                  DDG blocked/failed — backing off, will retry
[373/403] 'best amalfi coast travel blog write for us'     +6 new (total 1216)
[374/403] 'best amalfi coast travel blog 2026'             +5 new (total 1221)
[375/403] 'best amalfi coast travel blog contact us'       +2 new (total 1223)
[376/403] 'top amalfi coast travel blog'                   +0 new (total 1223)
[377/403] 'top amalfi coast travel blog write for us'      +0 new (total 1223)
[378/403] 'top amalfi coast travel blog 2026'              +1 new (total 1224)
[379/403] 'top amalfi coast travel blog contact us'        DDG blocked/failed — backing off, will retry
[380/403] 'cruise travel blog'                             DDG blocked/failed — backing off, will retry
[381/403] 'cruise travel blog write for us'                +3 new (total 1227)
[382/403] 'cruise travel blog 2026'                        +6 new (total 1233)
[383/403] 'cruise travel blog contact us'                  DDG blocked/failed — backing off, will retry
[384/403] 'best cruise travel blog'                        +9 new (total 1242)
[385/403] 'best cruise travel blog write for us'           +0 new (total 1242)
[386/403] 'best cruise travel blog 2026'                   +1 new (total 1243)
[387/403] 'best cruise travel blog contact us'             DDG blocked/failed — backing off, will retry
[388/403] 'top cruise travel blog'                         DDG blocked/failed — backing off, will retry
[389/403] 'top cruise travel blog write for us'            +0 new (total 1243)
[390/403] 'top cruise travel blog 2026'                    +0 new (total 1243)
[391/403] 'top cruise travel blog contact us'              +2 new (total 1245)
[392/403] 'luxury yacht lifestyle blog'                    +7 new (total 1252)
[393/403] 'luxury yacht lifestyle blog write for us'       +2 new (total 1254)
[394/403] 'luxury yacht lifestyle blog 2026'               DDG blocked/failed — backing off, will retry
[395/403] 'luxury yacht lifestyle blog contact us'         +3 new (total 1257)
[396/403] 'best luxury yacht lifestyle blog'               +1 new (total 1258)
[397/403] 'best luxury yacht lifestyle blog write for us'  +0 new (total 1258)
[398/403] 'best luxury yacht lifestyle blog 2026'          +6 new (total 1264)
[399/403] 'best luxury yacht lifestyle blog contact us'    +2 new (total 1266)
[400/403] 'top luxury yacht lifestyle blog'                DDG blocked/failed — backing off, will retry
[401/403] 'top luxury yacht lifestyle blog write for us'   DDG blocked/failed — backing off, will retry
[402/403] 'top luxury yacht lifestyle blog 2026'           DDG blocked/failed — backing off, will retry
[403/403] 'top luxury yacht lifestyle blog contact us'     DDG blocked/failed — backing off, will retry
discover done: +1266 new blogs
